id,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density
724,vanilla fudge,108,1.5,1,0.4,0.084,23.2,22.6,0.3,0,4.2,0.04,3.1,0.063,0.013,0.056,0.076,0.012,0.093,0.015,0.095,0,0,0.067,0.026,10.8,0.036,0.036,0.8,0.045,8.5,13.9,0.004,0.089,35.944
725,halavah,328,15.1,2.9,5.7,5.9,42.3,0,8.7,3.2,0,0.1,2.6,0,0.3,0.016,0,0.036,2,0.1,0.2,0.097,0,0,0,23.1,0.8,3.2,152.6,0.6,424.9,130.9,0.036,3,95.618
726,praline,189,10.1,0.9,5.7,3,23.2,21.8,1.3,1.4,0,0.016,4,0,0.066,0.096,0,0.071,0.2,0.1,0.021,0.1,0,0.2,0.033,16.8,0.2,0.5,19.1,0.7,40.6,84.6,0.021,0.7,53.4
727,fruit juice bar,67,0.089,0,0,0.026,15.6,13.5,0.9,0.8,0,0.011,60.3,0,0.022,0.032,0,0.055,0.1,0.099,0.094,7.3,0,0,0.092,3.9,0,0.1,3.1,0.1,4.6,40.8,0.007,0.068,28.671
728,peanut brittle,138,5.4,1.2,2.3,1.3,20.2,14.5,2.1,0.7,3.4,0.1,0.2,0.051,0.015,0.046,0,0.098,0.7,0.1,0.029,0,0,0.7,0.06,7.6,0.086,0.3,11.9,0.2,30,47.5,0.037,0.2,36.343
729,butterscotch,21,0.2,0.1,0.07,0.076,4.8,4.3,0.079,0,0.5,0.039,0.3,0.076,0.008,0,0,0.087,0.093,0.075,0,0,0,0.059,0.092,0.2,0.062,0.02,0,0.076,0.04,0.2,0.011,0.001,5.351
730,chocolate coffee beans,155,9.4,5.1,3.9,0.4,15.6,14.4,2.1,1.6,5.7,0.006,0.7,0.049,0.007,0.016,0.063,0.011,0.052,0.1,0.002,0,0,0.1,0.04,47.8,0.1,0.6,18.1,0.2,53.2,116.9,0.056,0.6,77.127
731,nougat with almonds,56,0.2,0.2,0,0,12.9,11.7,0.5,0.5,0,0.061,0.3,0,0.058,0.044,0,0.045,0.083,0.044,0.001,0.096,0,0.4,0,4.5,0.051,0.082,4.5,0.043,7.7,14.7,0.062,0.051,18.658
732,carob,135,7.8,7.3,0.1,0.028,14.1,8.5,2,1,0.3,0.015,0.4,0,0,0.02,0.087,0.086,0.027,0.3,0.2,0.007,0.1,0,0.4,0.051,75.8,0.011,0.3,9,0.059,31.5,158.3,0.087,25.013
733,peanut butter fudge,62,1.1,0.3,0.5,0.3,12.4,11.7,0.6,0.1,0.5,0.085,1.7,0.081,0.064,0.09,0.095,0.07,0.2,0.028,0.052,0,0,0.2,0.068,6.7,0.016,0.072,3.2,0.077,10.9,19,0.007,0.021,21.055
734,sugar coated almonds,17,0.6,0.016,0.4,0.1,2.4,2.2,0.4,0.013,0,0.021,0.094,0,0.08,0.033,0,0.098,0.046,0.029,0.092,0,0,0.4,0,3.5,0.073,0.061,4.8,0.091,5.8,8.9,0.009,0.085,6.936
735,chocolate coated marshmallow,118,4.7,1.3,2.6,0.5,19,12.5,1.1,0.6,0,0.002,2.8,0.043,0.07,0.002,0.098,0.027,0.2,0.1,0.087,0.093,0,0.022,0.03,12.9,0.013,0.7,10.1,0.061,27.2,51,0.076,0.2,39.096
736,raisins chocolate coated,390,14.8,10.3,3.1,0.6,68.4,62.2,4.1,3.1,3,0.021,11.2,0.059,0.018,0.016,0.066,0.2,0.4,0.3,0.08,0.2,0,0.3,0.054,86,0.4,1.7,45,0.4,143,514,0.053,1.3,178.329
737,chewing gum sugarless,5,0.013,0.09,0.081,0.038,1.9,0,0,0.078,0,0.001,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.03,0,2.378
738,chewing gum,11,0.032,0.058,0.06,0.015,2.9,2,0,0.012,0,0.083,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.045,0,2.973
739,chocolate syrup,109,0.4,0.2,0.1,0.011,25.4,19.4,0.8,1,0,0.061,12.1,0,0.055,0.096,0,0.099,0.1,0.096,0.089,0.009,0,0.086,0.049,5.5,0.2,0.8,25.4,0.1,50.3,87.4,0.08,0.3,33.955
740,chocolate fudge syrup,67,1.7,0.8,0.7,0.086,12,6.6,0.9,0.5,0.2,0.084,4.1,0.07,0.015,0.079,0.029,0.077,0.02,0.073,0.046,0.023,0,0.5,0.035,9.3,0.076,0.2,9.1,0.013,18.4,54,0.044,0.2,24.726
741,m ms milk chocolate mars,207,8.9,5.5,2.2,0.4,29.9,26.7,1.8,1.2,5.9,0.018,0.7,0.086,0.097,0.016,0.063,0.08,0.1,0.1,0.015,0.2,0,0.2,0.032,44.1,0.1,0.5,18.5,0.1,61.3,109.6,0.064,0.7,86.651
742,milk chocolate with almonds,216,14.1,7.3,4.9,1.2,21.9,18,3.7,2.5,7.8,0.051,0.6,0.049,0.02,0.06,0.093,0.2,0.3,0.2,0.047,0.084,0,1.3,0.016,91.8,0.2,0.7,36.9,0.3,108.2,182,0.067,0.5,134.811
743,chocolate fudge,70,1.8,1.1,0.5,0.055,13,12.4,0.4,0.3,2.4,0.032,1.7,0.067,0.028,0.062,0.061,0.029,0.054,0.011,0.044,0,0,0.075,0.068,8.3,0.059,0.3,6.1,0.044,12.1,22.8,0.01,0.2,24.119
744,milk chocolate with rice cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
745,m ms peanut chocolate mars,93,4.7,1.8,1.5,0.6,10.9,9.1,1.7,0.7,1.4,0.017,0.4,0.035,0.064,0.097,0.051,0.062,0.6,0.1,0.061,0,0,0.5,0.086,18.4,0.057,0.2,12.4,0.1,34.2,62.5,0.099,0.3,36.623
746,dark chocolate,165,9.7,5.7,2.9,0.3,18,13.8,1.5,2.2,2.1,0.013,0.3,0.074,0,0.052,0,0.077,0.004,0.2,0.084,0.064,0,0,0.2,0.087,17.1,0.3,2.4,45.6,0.4,64.2,170.4,0.033,31.848
747,chocolate semisweet,806,50.4,29.8,16.7,1.6,107.4,91.6,7.1,9.9,0,0.042,1.2,0,0.023,0.094,0,0.2,0.7,0.2,0.036,0,0,0.4,0.066,53.8,1.2,5.3,193.2,1.3,221.8,613.2,0.055,2.7,233.9
748,after eight mints nestle,36,1,0.7,0,0,6.7,5.6,0.1,0.2,0,0.025,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.062,0,0,0,0,0,0,9.163
749,milk chocolate,37,2.1,1.3,0.5,0.036,4.2,3.6,0.5,0.2,1.6,0.045,0.1,0.049,0.097,0.033,0.01,0.066,0.079,0.087,0.089,0,0,0.003,0.017,13.2,0.083,0.2,4.4,0.014,14.6,26,0.007,0.2,20.464
750,white chocolate,162,9.6,5.8,2.7,0.3,17.8,17.7,1.8,0.081,6.3,0.009,0.4,0.072,0.072,0.051,0.022,0.091,0.2,0.2,0.042,0.2,0,0.3,0.082,59.7,0.01,0.025,3.6,0.1,52.8,85.8,0.073,0.2,89.212
751,chocolate,208,14,8.2,4.6,0.4,24.8,21.1,1.6,2.3,0,0.001,0.2,0,0.094,0.069,0,0.026,0.3,0.019,0.091,0,0,0.1,0.074,9.8,0.2,1.1,46.3,0.2,60.3,118.9,0.018,0.6,53.6
752,twix mars,146,7.2,5.5,0.9,0.2,18.8,14,1.4,0.3,2,0.064,1.2,0.081,0.062,0.048,0.007,0.036,0.073,0.3,0.03,0.099,0.2,0,0.2,0.085,30.7,0.042,0.2,7.8,0.071,30.5,53.9,0.065,27.86
753,kit kat nestle,62,3.3,2.2,0.6,0.097,7.6,6.5,0.7,0.2,1.1,0.022,0.1,0,0,0.094,0.047,0,0.071,0.035,0.065,0,0.2,0,0,0,16.6,0.059,0.1,0.2,0,13.4,35.3,0,11.843
754,snickers mars,280,13.6,5.2,4.5,1.7,35.1,28.8,4.3,1.3,7.4,0.1,3.2,0.2,0.009,0.015,0.089,0.078,0.092,2.1,0.3,0.077,0.3,0,0.9,0.015,53,0.2,0.4,41,0.2,108.3,184.1,0.0,54.826
755,milky way mars,264,10,7,1.3,0.2,41.3,34.6,2.3,0.6,5.2,0.021,3.7,0.1,0.065,0.085,0.079,0.011,0.081,0.0,0.09,0.068,0.4,0.072,0.5,0.038,66.7,0.047,0.3,11.6,0.095,38.9,71.9,0.073,54.438
756,clif bar,235,4,1,0.7,1.5,44.5,21.5,10,5,0,0.1,7.5,0,0.4,0.076,0.055,0.3,3,1.5,0.4,60,0,0.2,0.089,250.2,0.3,4.5,100,1.5,199.9,280.2,0.048,3,378.2
757,gum drops,18,0.042,0.05,0.1,0.012,4.4,3.5,0,0,0,0.008,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,4.418
758,skittles wild berry mars,249,2.6,2.6,0,0,56.3,47.1,0.1,0,0,0.036,2.4,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,100.6
759,skittles original mars,251,2.7,2.6,0,0,56.3,47,0.1,0,0,0.025,2.4,0,0,0,0,0.033,0.037,0.016,0.097,41.4,0,0.1,0.036,0,0.087,0,0.6,0.073,0.6,7.4,0.044,0.03,100.5
760,skittles tropical mars,251,2.7,0,0,0,56.3,47,0.1,0,0,0.095,2.4,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,100.7
761,fruit leather,52,0.4,0.025,0.2,0.05,12,6.9,0.029,0,0,0.0,1.4,0,0.051,0.081,0,0.05,0.03,0.078,0.016,16.8,0,0.02,0.003,4.5,0.06,0.1,2.8,0.083,4.3,41.2,0.034,0.014,33.811
762,taffy,60,0.5,0.3,0.1,0.045,13.7,10.3,0.087,0,1.4,0.028,0.7,0.096,0.026,0.011,0,0,0.046,0.018,0.013,0,0,0,0.062,0.034,1.2,0,0.016,0,0,0.2,0.5,0.054,14.358
763,eisbonbons mac iver,23,0,0,5.6,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,caramels,39,0.8,0.3,0.2,0.4,7.8,6.6,0.5,0,0.7,0.015,0.9,0.021,0.005,0.061,0.03,0.04,0.094,0.092,0.088,0.024,0,0.002,0.014,13.9,0.06,0.049,1.7,0.006,11.5,21.6,0.087,0.057,23.208
765,hard candy,24,0.067,0,0,0,5.9,3.8,0,0,0,0.021,0.05,0,0.021,0,0,0.084,0.039,0.09,0.035,0,0,0,0,0.2,0.071,0.038,0.2,0.082,0.2,0.3,0.052,0.059,6.182
766,jellybeans,4,0.043,0,0,0,1,0.8,0,0.083,0,0.076,0.051,0,0.04,0,0,0.017,0.099,0.098,0.09,0,0,0,0,0.08,0.038,0.029,0.055,0.013,0.027,0.4,0.052,0.032,1.216
767,jellies,56,0.069,0.033,0.059,0.071,14.7,10.8,0.005,0.2,0,0.016,6.3,0,0.055,0.098,0,0.1,0.039,0.045,0.046,0.2,0,0,0.063,1.5,0.012,0.084,1.3,0.096,1.3,11.3,0.1,0.041,16.779
768,wheat germ toasted,115,3.2,0.5,0.5,2,14.9,2.3,8.7,4.5,0,0.06,1.7,0,0.5,0.1,0,0.2,1.7,0.4,0.3,1.8,0,4.8,0.098,13.5,0.2,2.7,96,6,343.8,284.1,0.047,5,49.3
769,crispy brown rice,124,1.1,0.2,0.3,0.5,27.5,2.9,2.3,2.3,0,0.086,1,0,0.034,0.046,0,0.084,0.7,0,0.051,0,0,0.043,0,9,0.067,0.4,28.2,0,90.6,76.2,0.034,0.5,42.6
770,bran flakes asda,109,0.6,0.2,19.5,3.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
771,amaranth cooked,251,3.9,0,0,0,46,0,9.3,5.2,0,0.095,184.9,0,0.048,0.025,0,0.033,0.6,0,0.3,0,0,0.5,0,115.6,0.4,5.2,159.9,2.1,364.1,332.1,0.074,2.1,185.2
772,triticale,645,4,0.7,0.4,1.8,138.5,0,25.1,0,0,0.049,20.2,0,0.8,0.1,0,0.3,2.7,2.5,0.3,0,0,1.7,0,71,0.9,4.9,249.6,6.2,687.4,637.4,0,6.6,243.5
773,barley raw,42,0.1,0.041,0.096,0.038,9.3,0.094,1.2,1.9,0,0.016,1.2,0,0.017,0.002,0,0.096,0.6,0.035,0.034,0,0,0.052,0.061,3.5,0.059,0.3,9.5,0.2,26.5,33.6,0.019,0.3,16.3
774,bulgur dry,171,0.7,0.1,0.06,0.3,37.9,0.2,6.1,9.2,0,0.071,4.5,0,0.1,0.076,0,0.018,2.6,0.5,0.2,0,0,0.093,0.044,17.5,0.2,1.2,82,1.5,150,205,0.073,1,72.6
775,cottonseed kernels roasted,754,54.1,14.5,10.3,26.9,32.6,0,48.6,8.2,0,0.073,6.9,0,1.1,0.3,0,0.4,4.5,0.7,1.2,13.4,0,0,0,149,1.8,8,655.6,3.2,1192.0,2011.5,0,8.9,313.9
776,rice bran,373,24.6,4.9,8.9,8.8,58.6,1.1,15.8,24.8,0,0.036,7.2,0,3.2,0.028,0,0.3,40.1,8.7,4.8,0,0,5.8,0.051,67.3,0.9,21.9,921.6,16.8,1978.9,1752.3,0.018,7.1,213.0
777,chaptti roti indian bread,491,2.5,2.5,99.9,17.5,0.089,68.4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551
778,quinoa cooked,222,3.6,0.4,1,2,39.4,1.6,8.1,5.2,0,0.026,132.5,0,0.2,0.084,0,0.2,0.8,0,0.2,0,0,1.2,0,31.5,0.4,2.8,118.4,1.2,281.2,318.2,0.058,2,90.6
779,dar vida swiss original,116,3.1,0.3,17.8,2.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
780,teff cooked,255,1.6,0,0,0,50,0,9.8,7.1,0,0.053,188.8,0,0.5,0.016,0,0.056,2.3,0,0.2,0,0,0,0,123.5,0.6,5.2,126,7.2,302.4,269.6,0,2.8,197.2
781,couscous dry,650,1.1,0.2,0.2,0.4,134,0,22.1,8.7,0,0.031,14.8,0,0.3,0.059,0,0.1,6,2.2,0.2,0,0,0,0,41.5,0.4,1.9,76.1,1.3,294.1,287.2,0,1.4,209.3
782,weetabix weetabix,2078,11.5,396.1,68.9,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
783,oat bran cooked,88,1.9,0.4,0.6,0.7,25.1,0,7,5.7,0,0.082,184,0,0.4,0.022,0,0.017,0.3,0.5,0.073,0,0,0,0,21.9,0.1,1.9,87.6,2.1,260.6,201.5,0.023,1.2,63.5
784,buckwheat cooked,155,1,0.2,0.3,0.3,33.5,1.5,5.7,4.5,0,0.053,127.1,0,0.079,0.066,0,0.087,1.6,0.6,0.1,0,0,0.2,0.031,11.8,0.2,1.3,85.7,0.7,117.6,147.8,0.044,1,57.8
785,millet puffed,74,0.7,0.1,0.2,0.4,16.8,0.1,2.7,0.6,0,0.076,0.5,0,0.072,0.044,0,0.099,0.9,0,0.08,0,0,0.1,0.029,1.7,0.1,0.6,22.3,0,55.9,8.4,0.084,0.3,23.1
786,oat bran raw,23,0.5,0.077,0.2,0.2,4.9,0.1,1.3,1.2,0,0.036,32.4,0,0.5,0.091,0,0.06,0.084,0.017,0,0,5.6,0.044,0.4,18,51.6,40,0.2,0.0,0.0,0.0,0.0,0.0,65.9
787,popcorn oil popped,64,4.8,0.8,1.1,2.6,5,0.027,0.8,0.9,0,0.018,0.1,0,0.074,0.052,0,0.099,0.1,0.1,0.067,0.086,0,0.3,0.08,0.4,0.062,0.2,8.7,0.051,21.9,20,0.03,0.3,12.109
788,kamut cooked,251,1.6,0,0,0,52.4,0,11.1,6.7,0,0.038,105.6,0,0.2,0.017,0,0.06,4.7,0,0.1,0,0,0,0,17.2,0.4,3.5,96.3,2.1,304.4,347.4,0.058,3,92.5
789,wheat bran,125,2.5,0.4,0.4,1.3,37.4,0.2,9,24.8,0,0.015,5.7,0,0.3,0.005,0,0.3,7.9,1.3,0.8,0,0,0.9,0.01,42.3,0.6,6.1,354.4,6.7,587.5,685.6,0.066,4.2,122.1
790,cheese popcorn,58,3.7,0.7,1.1,1.7,5.7,0,1,1.1,1.2,0.002,0.3,0.09,0.009,0.06,0.076,0.017,0.2,0.089,0.015,0.074,0,0,0,12.4,0.044,0.2,10,0.097,39.7,28.7,0.096,0.2,24.284
791,raisin bran crunch kelloggs,90,0.5,0,0,0,21.2,9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6
792,couscous cooked,176,0.3,0.091,0.063,0.1,36.5,0.2,6,2.2,0,0.054,113.9,0,0.026,0.087,0,0.092,1.5,0.6,0.058,0,0,0.2,0.046,12.6,0.065,0.6,12.6,0.1,34.5,91.1,0.01,0.4,58.2
793,multigrain cheerios general mills,4,0.005,0,0.08,0.095,1,0.2,0.038,0.1,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248
794,bulgur cooked,151,0.4,0.053,0.083,0.2,33.8,0.2,5.6,8.2,0,0.049,141.5,0,0.1,0.022,0,0.017,1.8,0.6,0.2,0,0,0.051,0.093,18.2,0.1,1.7,58.2,1.1,72.8,123.8,0.026,1,67.9
795,popcorn air popped,31,0.4,0.011,0.014,0.2,6.2,0.086,1,1.2,0,0.016,0.3,0,0.031,0.099,0,0.092,0.2,0.097,0.057,0,0,0.097,0.071,0.6,0.02,0.3,11.5,0.092,28.6,26.3,0,0.2,9.7
796,teff raw,708,4.6,0.9,1.1,2.1,141.1,3.6,25.7,15.4,0,0.053,17,0,0.8,0,0,0.5,6.5,1.8,0.9,0,0,0.2,0.03,347.4,1.6,14.7,355.1,17.8,828,824.1,0.038,7,548.9
797,spelt cooked,246,1.6,0,0,0,51.3,0,10.7,7.6,0,0.041,129.1,0,0.2,0.066,0,0.087,5,0,0.2,0,0,0.5,0,19.4,0.4,3.2,95.1,2.1,291,277.4,0.042,2.4,93.8
798,millet raw,756,8.4,1.4,1.5,4.3,145.7,0,22,17,0,0.013,17.3,0,0.8,0.2,0,0.6,9.4,1.7,0.8,0,0,0.1,0.027,16,1.5,6,228,3.3,570,390,0.0,3.4,215.1
799,popcorn unpopped,106,1.2,0.2,0.3,0.7,20.9,0.3,3.1,3.6,0,0.001,3,0,0.087,0.001,0,0.051,0.5,0.1,0.054,0,0,0.026,0,1.4,0.042,0.9,34.8,0.3,84.6,77.5,0,0.8,31.1
800,whole wheat cooked,150,1,0.1,0.1,0.5,33.2,0.2,4.8,3.9,0,0.6,202.3,0,0.2,0.085,0,0.1,2.2,0.4,0.2,0,0,0.6,0.056,16.9,0.2,1.5,53.2,1.4,167,171.8,0.025,1.2,61.3
801,wheat sprouted,214,1.4,0.2,0.2,0.6,45.9,0,8.1,1.2,0,0.026,51.6,0,0.2,0.023,0,0.2,3.3,1,0.3,2.8,0,0,0,30.2,0.3,2.3,88.6,2,216,182.5,0.004,1.8,91.9
802,whole wheat dry,96,0.6,0.031,0.095,0.3,21.1,0.1,3.1,2.7,0,0.036,2.8,0,0.1,0.053,0,0.087,1.4,0.3,0.1,0,0,0.4,0.092,11.2,0.1,0.9,34.2,0.9,106.1,108.9,0.031,0.7,39.6
803,caramel popcorn,122,3.6,1,0.8,1.3,22.4,15.1,1.1,1.5,1.4,0.069,0.8,0.066,0.044,0.079,0,0.086,0.6,0.018,0.052,0,0,0.3,0.094,12.2,0.054,0.5,9.9,0.1,23.5,30.8,0.067,0.2,41.396
804,wheat puffed,44,0.1,0.025,0,0,9.6,0,1.8,0.5,0,0.03,0.4,0,0.3,0.092,0,0.2,4.2,0.092,0.041,0,0,0,0,3.4,0.086,3.8,17.4,0.2,42.6,41.8,0.084,0.3,19.2
805,roggenmischbrot sonnenblumenkerne aldi,82,3.1,9.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
806,wheat germ,112,3,0.5,0.4,1.9,16.1,0,7.2,4.1,0,0.037,3.4,0,0.6,0.087,0,0.2,2.1,0.7,0.4,0,0,0,0,12.1,0.2,1.9,74.1,4.1,261,276.5,0.056,3.8,44.4
807,microwave popcorn,465,26.3,12.7,9.2,3.6,49.8,0.3,7.3,8.7,0,0.6,0.8,0.7,0.072,0.073,0.034,0,0.073,1.4,0.2,0.3,0,0,2.5,0.052,20,0.2,1.8,95.7,0.7,239.3,341.9,0.004,93.352
808,millet cooked,207,1.7,0.3,0.3,0.9,41.2,0.2,6.1,2.3,0,0.046,124.3,0,0.2,0.088,0,0.1,2.3,0.3,0.2,0,0,0.019,0.021,5.2,0.3,1.1,76.6,0.5,174,107.9,0.094,1.6,57.6
809,kamut raw,627,4.1,0.4,0.4,1.1,130.9,15.2,27.3,16.9,0,0.012,20.4,0.035,0,1.1,0,0,0.3,11.8,1.7,0.5,0,0,1.1,0.043,44.6,1,8.2,249.2,5.3,718,829.6,0.1,180.788
810,wheat durum,651,4.7,0.9,0.7,1.9,136.6,0,26.3,0,0,0.032,21,0,0.8,0.054,0,0.2,12.9,1.8,0.8,0,0,0,0,65.3,1.1,6.8,276.5,5.8,975.4,827.5,0.2,8,239.7
811,sorghum,651,6.3,0.9,1.9,2.6,143.3,0,21.7,12.1,0,0.045,17.7,0,0.5,0,0,0.3,5.6,0,0,0,0,0,0,53.8,0,8.4,0,0,551,672,0,0,245.6
812,white wheat,657,3.3,0.5,0.4,1.4,145.7,0.8,21.7,23.4,0,0.094,18.4,0,0.7,0.058,0,0.2,8.4,1.8,0.7,0,0,1.9,0.089,61.4,0.7,8.8,178.6,7.3,681.6,829.4,0,6.4,264.3
813,rye,571,2.8,0.3,0.4,1.3,128.2,1.7,17.5,25.5,0,0.078,17.9,0,0.5,0.036,0,0.4,7.2,2.5,0.5,0,0,1.4,0.092,40.6,0.6,4.4,185.9,4.4,561.1,861.9,0.032,4.5,219.0
814,spelt raw,588,4.2,0.7,0.8,2.2,122.1,11.9,25.4,18.6,0,0.076,19.2,0,0.6,0.056,0,0.2,11.9,1.9,0.4,0,0,1.4,0.037,47,0.9,7.7,236.6,5.2,697.7,675.1,0.051,5.7,225.0
815,buckwheat raw,41,0.4,0.007,0.1,0.1,8.6,0,1.6,1.2,0,0.054,1.2,0,0.054,0.03,0,0.015,0.8,0.1,0.005,0,0,0,0,2.2,0.1,0.3,27.7,0.2,41.6,55.2,0.094,0.3,14.3
816,honey cereali general mills,104,2,21.2,3,188,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
817,barley cooked,193,0.7,0.1,0.039,0.3,44.3,0.4,3.5,6,0,0.064,108,0,0.1,0.008,0,0.037,3.2,0.2,0.2,0,0,0.098,0.057,17.3,0.2,2.1,34.5,0.4,84.8,146,0.073,1.3,73.9
818,oats,39,0.7,0.1,0.2,0.3,6.6,0,1.7,1.1,0,0.074,0.8,0,0.01,0.085,0,0.026,0.016,0.1,0.032,0,0,0,0,5.4,0.006,0.5,17.7,0.5,52.3,42.9,0,0.4,16.0
819,amaranth raw,37,0.7,0.1,0.2,0.3,6.5,0.2,1.4,0.7,0,0.077,1.1,0,0.084,0.065,0,0.004,0.073,0.1,0.024,0.4,0,0.1,0,15.9,0.048,0.8,24.8,0.3,55.7,50.8,0.05,0.3,26.4
820,semolina,601,1.8,0.3,0.2,0.7,121.6,0,21.2,6.5,0,0.097,21.2,0,1.4,0.3,0,1,10,1,0.2,0,0,0.4,0,28.4,0.3,7.3,78.5,1,227.1,310.6,0.1,1.8,186.8
821,quinoa dry,221,3.6,0.4,1,2,38.5,0,8.5,4.2,0,0.026,8,0,0.2,0.1,0,0.2,0.9,0.5,0.3,0,0,1.5,0,28.2,0.4,2.7,118.2,1.2,274.2,337.8,0.056,1.9,85.7
822,wheat shredded,155,1,0.2,0.2,0.6,36.2,0.4,5.2,5.5,0,0.086,2.8,0,0.1,0.002,0,0.01,2.4,0.1,0.5,4.6,0,0,0.041,23,0.2,1.4,61.2,1.2,170.2,173,0.06,1.4,76.9
823,cattail,5,0,0,0,0,1,0.074,0.2,0.9,0,0.031,17.6,0,0.075,0.005,0,0.054,0.082,0.089,0.012,0.1,0,0,0.021,10.3,0.03,0.2,12,0.1,8.6,58.7,0.091,0.064,12.7
824,peanut granola bar,116,5.7,0.8,1.7,2.9,15,8.2,2.4,0.7,0,0.006,0.6,0.062,0.006,0.01,0,0.008,0.5,0.1,0.023,0.012,0,1.3,0.095,9.8,0.02,0.6,13.2,0.3,33.4,69.8,0.061,0.3,34.218
825,vanilla bluberry bar kind,49,1.4,8.4,2.5,0.7,0.9,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
826,coconut granola bar,150,9.1,6.4,1.4,0.9,15.6,9.7,1.5,1.8,0,0.006,1.7,0,0.041,0.008,0.053,0.064,0.1,0,0.056,0.1,0,0.019,0.072,11.9,0.045,0.5,15.8,0,43.6,71.9,0.053,0.3,40.5
827,almond granola bar,119,6.1,3,1.9,0.9,14.9,0,1.8,1.2,0,0.067,0.7,0,0.031,0.009,0,0.0,0.1,0.1,0.077,0,0,0,0,7.7,0.017,0.6,19.4,0.3,54.7,65.5,0.06,0.4,32.3
828,chocolate chip granola bar,105,3.9,2.7,0.6,0.3,17.3,0,1.8,1.1,0,0.062,0.6,0,0.076,0.014,0,0.071,0.1,0.1,0.057,0.1,0,0,0,18.5,0.008,0.7,17.3,0.4,49,60.2,0.018,0.5,43.38
829,fruit granola bar,82,0.2,0.034,0.032,0.093,18.6,13.3,1.4,1.8,0,0.028,3.3,0,0.006,0.007,0.002,0.009,0.034,0,0.4,0.4,0,0.071,0.099,0.7,0.003,1,12,0,29.3,52.8,0.052,0.3,24.1
830,granola bar,99,4.2,0.5,0.9,2.5,13.5,6,2.1,1.1,0,0.084,0.8,0,0.059,0.011,0,0.061,0.3,0.2,0.003,0.2,0,0.4,0.022,12.8,0.081,0.6,20.4,0.4,58.2,70.6,0.027,0.4,34.5
